text,label
A breathtaking masterpiece with phenomenal performances.,1
Painfully dull with no redeeming qualities.,0
The cinematography elevates this film to greatness.,1
Unbearably pretentious and utterly pointless.,0
Emotionally resonant with unforgettable characters.,1
Wooden acting ruins an already weak script.,0
A visual feast with stunning production design.,1
Plagued by terrible CGI and lazy writing.,0
Brilliant direction brings this story to life.,1
Predictable plot with zero originality.,0
"The screenplay is sharp, witty, and profound.",1
Editing is so choppy it's hard to follow.,0
Powerful performances across the entire cast.,1
Sound mixing is atrocious - dialogue inaudible.,0
Perfect pacing keeps you engaged throughout.,1
Villain's motivation makes no logical sense.,0
An instant classic that redefines its genre.,1
Romantic subplot feels forced and unnecessary.,0
Inventive storytelling with fresh perspective.,1
Pacing drags like a tortoise in quicksand.,0
The score perfectly complements every scene.,1
Supporting characters are cardboard cutouts.,0
Complex characters with genuine depth.,1
Ending is abrupt and unsatisfying.,0
Every frame is meticulously crafted.,1
Overused slow-mo ruins action sequences.,0
Thought-provoking themes handled with nuance.,1
Green screen effects are laughably bad.,0
Chemistry between leads is electric.,1
Lead actor is catastrophically miscast.,0
World-building is rich and immersive.,1
Third act collapses under its own weight.,0
Humor is smart and perfectly timed.,1
Too many dream sequences disrupt the flow.,0
Production design captures the era perfectly.,1
Obvious product placement breaks immersion.,0
Emotional payoff is deeply satisfying.,1
Unrealistic physics take you out of the story.,0
Supporting cast delivers standout performances.,1
Flashbacks add nothing but runtime.,0
A rare film that gets everything right.,1
Musical score is manipulative and overbearing.,0
Dialogue feels natural and authentic.,1
Fake-looking blood resembles ketchup.,0
Twists are clever and well-earned.,1
Overly dark cinematography hides key scenes.,0
Character arcs are beautifully developed.,1
Plot twists are telegraphed from miles away.,0
Balances multiple genres effortlessly.,1
Cheap-looking costumes ruin period authenticity.,0
Every performance is Oscar-worthy.,1
Jokes land with a thud - zero laughs.,0
Artful direction creates palpable tension.,1
Action scenes are poorly choreographed.,0
Subtle details reward repeat viewings.,1
Unnecessary narration explains too much.,0
Sets and costumes are period-perfect.,1
Too many subplots dilute the main story.,0
A landmark achievement in filmmaking.,1
Dutch angles are used to nauseating excess.,0
Smart script avoids all the usual clichés.,1
Supporting cast phones in performances.,0
Visual effects are seamless and stunning.,1
Emotional beats feel unearned and hollow.,0
Fresh take on familiar material.,1
Science is so bad it insults intelligence.,0
Perfect blend of spectacle and substance.,1
Historical inaccuracies are distracting.,0
Keeps you guessing until the final frame.,1
Overly long runtime tests patience.,0
Director's vision shines in every scene.,1
Bad child acting ruins key moments.,0
Sophisticated and emotionally mature.,1
Fight scenes look like rehearsed dances.,0
Bold choices pay off brilliantly.,1
Exposition is clumsily dumped in dialogue.,0
Authentic portrayal of its subject matter.,1
Sequel bait ending undermines the film.,0
Every actor brings their A-game.,1
Stunt doubles are painfully obvious.,0
Nuanced exploration of difficult themes.,1
Bad aging makeup looks like costumes.,0
Rewatchable with new details each time.,1
Animal CGI resembles PS2 graphics.,0
Masterful control of tone and mood.,1
Unconvincing accents take you out of it.,0
Stays with you long after viewing.,1
Overly sentimental moments feel manipulative.,0
Exactly what cinema should strive to be.,1
Bad ADR makes lip movements mismatch.,0
Clever foreshadowing rewards attention.,1
Too many fake-out deaths become comical.,0
Perfect casting for every role.,1
Main romance has zero chemistry.,0
Sets new standards for visual storytelling.,1
Plot armor for protagonist is ridiculous.,0
Emotional core feels genuine and earned.,1
Political messaging is heavy-handed.,0
Technical mastery in every department.,1
Time jumps are confusing rather than clever.,0
Powerful social commentary done right.,1
Bad prosthetics make monsters look silly.,0
Characters feel like real people.,1
Continuity errors appear in every scene.,0
Original vision executed flawlessly.,1
Overly complicated for no reason.,0
Breathtaking action sequences.,1
Quirky character traits feel forced.,0
Perfect ending ties everything together.,1
Dream logic makes plot incomprehensible.,0
Richly textured with layered storytelling.,1
Bad wire work ruins gravity scenes.,0
Pitch-perfect tone throughout.,1
Pacing is erratic - boredom then whiplash.,0
Visually inventive and daring.,1
Found footage gimmick adds nothing.,0
Touching without being saccharine.,1
Child genius trope is unbelievable.,0
Every element works in perfect harmony.,1
Overuse of shaky cam induces nausea.,0
Deeply philosophical yet entertaining.,1
Deus ex machina resolves climax lazily.,0
Powerhouse performances from entire cast.,1
Bad slow-motion ruins dramatic moments.,0
Fresh perspective on classic themes.,1
Token diversity feels like pandering.,0
